show_title,rating,image,trailer,description,cast_members
mother of the bride,4.9,https://m.media-amazon.com/images/M/MV5BYmY3YTExZTEtYWViMy00ZDQ0LWJlZGMtYTU2Yzc1NGE3MzgzXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=bUSoEQBHtSg,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son of the man who broke hers years ago.,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt, Rachael Harris, Sean Teale"
la palma,6.2,https://m.media-amazon.com/images/M/MV5BZDRkMmNjZTYtOTY1Mi00YWZkLTgxYzctNWZkOTk3Nzk5YjBjXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=2zFVoLQyWjc,A Norwegian family vacationing in La Palma faces chaos when a researcher discovers imminent volcanic eruption signs that could trigger a massive tsunami.,
the old guard 2,5.1,https://m.media-amazon.com/images/M/MV5BZmFhNWY1MjEtZTkyZS00ZWIzLTk4ZWItMDM0MzliNmE1ZGZhXkEyXkFqcGc@.jpg,,"Andy leads immortal warriors against a powerful enemy threatening their group. They grapple with the resurfacing of a long-lost immortal, complicating their mission to safeguard humanity.",
trigger warning,4.6,https://m.media-amazon.com/images/M/MV5BOWZjMTkyMGUtYjQyZS00MzA0LThlZGItZTIxN2I1YjI3ZjkxXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=MnHTLh6ruW0,"A special forces commando returns to her hometown after her father's sudden death, only to run afoul of a violent gang when she starts asking questions.",
nobody wants this,7.7,https://m.media-amazon.com/images/M/MV5BZGEyNWU3M2EtY2QzNy00NmFmLWI0MDQtMWQzNzdlZjE4MWRiXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=Xn2PsXD8m4A,An agnostic sex podcaster and a newly single rabbi fall in love; discovering if their relationship can survive their wildly different lives and meddling families.,
the perfect couple,6.5,https://m.media-amazon.com/images/M/MV5BMTRmNDBjNWEtODc5My00YjEyLWJlY2EtODhmYTcxYTcyMzRkXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=Z05jHVS-UBE,When one lavish wedding ends in disaster before it can even begin--with a body discovered in Nantucket Harbor just hours before the ceremony--everyone in the wedding party is suddenly a suspect.,
avatar the last airbender,9.3,https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=IyZ0xetSb9s,"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",
the killer,7.5,https://m.media-amazon.com/images/M/MV5BZWY5ZDVjNTUtODI5Yy00MjFhLWEyM2EtYzZjM2VjZTI0MTBjXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=EG0si5bSd6I,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",
lupin,7.5,https://m.media-amazon.com/images/M/MV5BMDJhODQ3ZDEtN2JmMS00Yjk5LTk1ZTUtMzI3YTU0NTNjMjAyXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=ga0iTWXCGa0,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",
monsters,8.1,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@.jpg,https://www.youtube.com/watch?v=6tCxnHCqqxg,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",
griselda,7.2,https://m.media-amazon.com/images/M/MV5BMzdlNGU1MmItZDFhMi00YzQ1LTkyMDMtNWI4MDM5MDE3ZDg1XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=wcF0A-Gy-Ng,"Fleeing from Medellín to Miami, Griselda Blanco creates one of the most ruthless cartels in history.","Sofía Vergara, Alberto Guerra, Juliana Aidén Martinez, Martín Rodríguez, Jose Velazquez"
the electric state,5.9,https://m.media-amazon.com/images/M/MV5BZDU5YWE3MmItMGI0Ny00MWQ4LWE3NDktMjRkNDk5YmFjYTk2XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=KpN98z8Kf5E,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",
ginny & georgia,7.5,https://m.media-amazon.com/images/M/MV5BM2U2NjA5NmUtNTUzYi00NDdjLWEwZjgtZGFmYjAzNzk3ZjFkXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=OKj4rB2zWv4,"Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.",
uglies,8.8,https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=3VQjSSB78es,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli"
ad vitam,5.9,https://m.media-amazon.com/images/M/MV5BZDEzZDcxYTAtN2YxZC00OGYzLWI3MDktNmEzYWJmMjQyNDBiXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=gMmF9uWqzK8,"After escaping an attempted murder, Franck Lazareff must find his wife Leo, who has been kidnapped by a mysterious group of armed men. He is caught up by his past and plunged into a state affair that is beyond him.",
the thursday murder club,6.5,https://m.media-amazon.com/images/M/MV5BYmQ4NWVjN2EtN2U3NC00YzZhLWIzYmMtNjQ0ZjNiN2MzNDI0XkEyXkFqcGc@.jpg,,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hands.",
people we meet on vacation,6.6,https://m.media-amazon.com/images/M/MV5BM2ZmZWEyOGItYzVjYi00N2Q3LTlmNDItYmUwZjFhMTJmMzgzXkEyXkFqcGc@.jpg,,"Poppy wants to explore the world and Alex prefers to stay home with a good book, but somehow they are the very best of friends. They live far apart, but for a decade they have spent one week of summer vacation together.","Lucien Laviscount, Tom Blyth, Emily Bader, Lukas Gage, Jameela Jamil"
black mirror,8.7,https://m.media-amazon.com/images/M/MV5BODcxMWI2NDMtYTc3NC00OTZjLWFmNmUtM2NmY2I1ODkxYzczXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=di6emt8_ie8,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.",
family switch,5.7,https://m.media-amazon.com/images/M/MV5BYjYwNWMyNzgtYzZiNS00MjA3LWJmYTQtZGFlN2I5NzBhZDM4XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=SWh4c9EVqGM,"When a chance encounter with an astrological reader causes the Walkers to wake up to a full body switch, can they unite to land a promotion, college interview, record deal, and soccer tryout?","Jennifer Garner, Ed Helms, Emma Myers, Brady Noon, Lincoln Sykes"
zero day,7.0,https://m.media-amazon.com/images/M/MV5BMmYwNWM3ZWEtMmRlMi00MTA5LWFlY2QtMGI2MTdjOWFiZjgxXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=FOfBiiPdQPI,"In the midst of crisis, how can we discover the truth when it seems the world is being destroyed by uncontrollable forces? And to what extent are conspiracy theories our own inventions or products of our imagination?",
